ziplenderId,zip,district,state,lenderid,activestatus,createdon,updatedon,createdby,updatedby
226,131027,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
227,131028,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
228,131029,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
229,131030,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
230,131039,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
231,131101,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
232,131102,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
233,131103,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
234,131301,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
235,131302,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
236,131304,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
237,131305,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
238,131306,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
239,131402,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
240,131403,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
241,131408,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
242,131409,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
243,132023,Karnal,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
244,132037,Karnal,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
245,132103,Panipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
246,132115,Panipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
247,132117,Karnal,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
248,132122,Panipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
249,133005,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
250,133006,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
251,133008,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
252,133010,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
253,133101,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
254,133102,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
255,133104,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
256,133204,Yamuna Nagar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
257,134112,Panchkula,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
258,134113,Panchkula,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
259,134114,Panchkula,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
260,134116,Panchkula,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
261,134117,Panchkula,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
262,134201,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
263,134202,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
264,134203,Panchkula,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
265,134204,Panchkula,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
266,134205,Panchkula,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
267,135002,Yamuna Nagar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
268,135004,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
269,135102,Yamuna Nagar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
270,135103,Yamuna Nagar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
